icao,name,municipality,iso_country,type
ULSK,Korpikyulya Airfield,Gatchina,RU,small_airport
ULSY,Sivoritsy Airfield,Gatchina,RU,small_airport
ULSO,Kuznetsovo Airfield,Rozhdestveno,RU,small_airport
ULBW,Verkhnyaya Zolotitsa Airfield,,RU,small_airport
UUBG,Sasovo Airfield,Sasovo,RU,small_airport
UWWZ,Buguruslan Glavny Airfield,Buguruslan,RU,small_airport
UNSA,Aleksandrovskoye Airport,Aleksandrovskoye,RU,small_airport
UNRR,Barabinsk Airport,Barabinsk,RU,small_airport
UIAO,Barguzin Airport,Barguzin,RU,small_airport
XRAS,Basy Airfield,Uchkhoz,RU,small_airport
UNNM,Mochische Airfield,Novosibirsk,RU,small_airport
XNBK,Kamen-na-Obi Air Base,Kamen-na-Obi,RU,small_airport
XNBS,Slavgorod North Air Base,Slavgorod,RU,small_airport
UNNS,Severnoye Airport,Severnoe,RU,small_airport
XNOR,Chistoozernoe Air Base,Chistoozernoe,RU,small_airport
UHHB,Birobidzhan Yuzhniy Airfield,Birobidzhan,RU,small_airport
XWWO,Bobrovka Air Base,Kinel,RU,medium_airport
URMB,Budyonnovsk Air Base,Budyonnovsk,RU,medium_airport
UWOX,Buzuluk Airport,Buzuluk,RU,small_airport
UHII,Chernigovka Air Base,Chernigovka,RU,medium_airport
UHQS,Esso Airport,Esso,RU,small_airport
UHQA,Avachinskiy Heliport,Yelizovo,RU,heliport
ZA83,Maikhe Airfield,Shtykovo,RU,small_airport
UHIU,Uglovaya Air Base,Artyom,RU,small_airport
ULLQ,Petropavlovskaya Krepost Helipad,Saint Petersburg,RU,heliport
ULSC,Seltso Airfield,Seltso,RU,small_airport
URKT,Tikhoretsk Air Base,Tikhoretsk,RU,small_airport
ULLH,Ambassador Hotel Helipad,Saint Petersburg,RU,heliport
UUWS,Solntsevo Heliport,Moscow,RU,heliport
UHHM,Chegdomyn Airport,Chegdomyn,RU,small_airport
UUMX,Blagoveshchenye Vertodrom,Sergiev Posad,RU,heliport
UUME,Pushkino Heliport,Zverosovkhoz,RU,heliport
UEMJ,Tomtor Airport,Tomtor,RU,small_airport
UEML,Solnechniy Airport,Ust-Ynykchan,RU,small_airport
UEQD,Dzhebariki-Khaya Airport,Dzhebariki-Khaya,RU,small_airport
ULMQ,Chavanga Helistrip,Chavanga,RU,heliport
UHWA,Arsenyev Sport Airfield,Arsenyev,RU,small_airport
UUDG,Bolshoye Gryzlovo Airfield,Pushchino,RU,small_airport
UUMW,Vatulino Airfield,Ruza,RU,small_airport
UUUH,Emergency Children's Surgery and Traumatology Research Institute Helipad,Moscow,RU,heliport
UUUR,City Clinical Hospital No.71 Helipad,Moscow,RU,heliport
UUUQ,A.K. Eramishantsev Hospital Helipad,Moscow,RU,heliport
UUUD,Emergency Medicine Research Institute Helipad,Moscow,RU,heliport
UUUN,City Clinical Hospital No.15 Helipad,Moscow,RU,heliport
UUUB,City Clinical Hospital No.7 Helipad,Moscow,RU,heliport
UUUY,MKAD 35 Kilometr Helipad,Moscow,RU,heliport
